week,mean_equilibrium,std_equilibrium,mean_overload,mean_resilience,intervention_need_rate
0,0.48268042829693864,0.15421170744518783,0.42679472162865995,0.5760977817386358,0.3807142857142857
1,0.3696012859861218,0.15500936900718618,0.452171337735554,0.5913771812114448,0.6678571428571428
2,0.2675728391019635,0.15813734466106327,0.48083895815799466,0.6089177223191969,0.8457142857142858
3,0.18187586649466003,0.15327451739265366,0.495821229078079,0.6136588197177811,0.9371428571428572
4,0.11741864289282085,0.1374570037144514,0.5103489200783837,0.6156884688483723,0.9714285714285714
5,0.07449643621865971,0.11731503686248937,0.5303489045243668,0.6189240851956812,0.9857142857142858
6,0.04669017246345701,0.0980153629116985,0.5339953186774111,0.6186070734137015,0.9957142857142857
7,0.02988914970301694,0.08187163598818666,0.5472832255987515,0.6187549880513118,0.9971428571428571
8,0.01991197065851204,0.07056387746281005,0.5424910012576034,0.6186355277062185,0.9957142857142857
9,0.014068859556213294,0.062158220864281015,0.5443528713968069,0.6170112884897869,0.9964285714285714
10,0.010108286787857116,0.055233943508865874,0.5483443540691805,0.6195369112592704,0.9957142857142857
11,0.007419197411532057,0.04916555472009072,0.5488256789341475,0.6178616336698618,0.9978571428571429
12,0.005605817528951846,0.043311942962824035,0.5458380822058686,0.6177367295937101,0.9978571428571429
13,0.00440257720994587,0.04043857517309866,0.5474819503930886,0.6189956849507328,0.9985714285714286
14,0.003898489543715569,0.037672799099036654,0.5466563589808049,0.6180116538969862,0.9985714285714286
15,0.0032335069304573944,0.034346992006711194,0.5514521646677528,0.6181977174858964,0.9992857142857143
